iter	Logloss
0	0.6879921351
1	0.6829560143
2	0.6792728441
3	0.6744584208
4	0.6697090506
5	0.6641591921
6	0.6597418998
7	0.6548629161
8	0.6509453625
9	0.646088506
10	0.6415614888
11	0.6371947362
12	0.6336754915
13	0.6301787136
14	0.6256621132
15	0.6215470467
16	0.6194065525
17	0.6154269669
18	0.611319446
19	0.6083227553
20	0.6037751477
21	0.6004386653
22	0.5964976993
23	0.5932361565
24	0.5896691027
25	0.5863624214
26	0.5834743209
27	0.5802247754
28	0.5764520511
29	0.5735707922
30	0.5704594756
31	0.5673365631
32	0.5642371316
33	0.5616779812
34	0.558643799
35	0.5557924749
36	0.5528794257
37	0.5504772159
38	0.5484884337
39	0.545941696
40	0.543745452
41	0.5416258503
42	0.5388918863
43	0.5366436556
44	0.533779567
45	0.5314513812
46	0.529395558
47	0.5270442868
48	0.5243486613
49	0.5218808249
50	0.5192746193
51	0.5172983879
52	0.5149784364
53	0.5128580308
54	0.51010828
55	0.5076564474
56	0.5055802603
57	0.5035469051
58	0.5014254772
59	0.4992433971
60	0.4982576212
61	0.4966307309
62	0.4947178294
63	0.493271403
64	0.4911801058
65	0.4894861837
66	0.4876380407
67	0.4862371782
68	0.4848198403
69	0.4833297443
70	0.4825310834
71	0.4808965122
72	0.4794265053
73	0.4780434287
74	0.476436052
75	0.4750780078
76	0.4739974172
77	0.472835847
78	0.4711769911
79	0.4699698039
80	0.468355446
81	0.4675875889
82	0.4664355067
83	0.4658636114
84	0.4645020967
85	0.4630230385
86	0.4613944186
87	0.4600268015
88	0.4587157554
89	0.457638678
90	0.4564884066
91	0.4558594799
92	0.4545089957
93	0.4534720652
94	0.4525825717
95	0.4514052431
96	0.4503353444
97	0.4493784613
98	0.4483033168
99	0.4473279717
100	0.4461706864
101	0.445436382
102	0.4444663176
103	0.4440726191
104	0.4425475366
105	0.4414826065
106	0.4404676112
107	0.4390703306
108	0.4381373373
109	0.4377887742
110	0.4368037176
111	0.4358125167
112	0.4348068641
113	0.433746285
114	0.4325996032
115	0.4322397178
116	0.4317293275
117	0.4305030114
118	0.4294994736
119	0.4285343509
120	0.4274430476
121	0.426176546
122	0.4250918819
123	0.4240686003
124	0.4230513212
125	0.422011476
126	0.4210504983
127	0.4199413846
128	0.4190033093
129	0.4186232751
130	0.4177844522
131	0.4167882383
132	0.4159104708
133	0.4153462882
134	0.4146008913
135	0.4136799202
136	0.4127861001
137	0.4122116225
138	0.4115810452
139	0.4112400531
140	0.4106741244
141	0.4101037092
142	0.4094981365
143	0.408777414
144	0.4085972097
145	0.4078080449
146	0.4074517248
147	0.4068119584
148	0.4058902217
149	0.4051763131
150	0.4044876883
151	0.4036027213
152	0.4027151216
153	0.4022159144
154	0.4013950003
155	0.4005401796
156	0.3999260712
157	0.3993486249
158	0.3987031486
159	0.3983499778
160	0.3975658734
161	0.397131335
162	0.396585181
163	0.3961707255
164	0.3954488377
165	0.3949867015
166	0.3943612458
167	0.3942201465
168	0.3940842785
169	0.3935885613
170	0.3932439906
171	0.3927641347
172	0.392312209
173	0.3919132053
174	0.3914009692
175	0.3910352154
176	0.3903042926
177	0.3898434385
178	0.3895575202
179	0.3892147577
180	0.3884495154
181	0.3880667534
182	0.3875875249
183	0.3871816722
184	0.3866714593
185	0.3861906393
186	0.3857286005
187	0.3851165582
188	0.3846939948
189	0.3842004263
190	0.3837035774
191	0.3831912708
192	0.382568293
193	0.3821632568
194	0.3816008714
195	0.3812568054
196	0.3807399583
197	0.3802074457
198	0.3795909368
199	0.3794514739
200	0.3792666279
201	0.3787914637
202	0.3780728816
203	0.3779844718
204	0.3775553483
205	0.3773597396
206	0.3769782948
207	0.3763467237
208	0.3760763311
209	0.3756440939
210	0.3750166948
211	0.3745682642
212	0.3739781978
213	0.3734664419
214	0.373102472
215	0.3727148591
216	0.3724676535
217	0.3721131792
218	0.3716280033
219	0.3713111176
220	0.3710213997
221	0.3707230893
222	0.3704153273
223	0.3702594035
224	0.3698871057
225	0.3696136263
226	0.3692546445
227	0.3687473299
228	0.3684256002
229	0.3681981101
230	0.3678834394
231	0.36747285
232	0.3671804665
233	0.3668008129
234	0.366361043
235	0.3660565831
236	0.3657218382
237	0.3654911216
238	0.3652589894
239	0.3645887874
240	0.3639273377
241	0.3636270781
242	0.3632601577
243	0.3630145199
244	0.3629339826
245	0.362541985
246	0.3621810434
247	0.3617895941
248	0.3614812576
249	0.3611667346
250	0.360920311
251	0.360524291
252	0.3601698249
253	0.3597954273
254	0.3595711878
255	0.3590829203
256	0.3587777512
257	0.3585584082
258	0.3582455741
259	0.357739332
260	0.3574680801
261	0.3570548684
262	0.3567626963
263	0.3562080982
264	0.3559713738
265	0.3556723069
266	0.3555454344
267	0.355297489
268	0.3546656732
269	0.3544251309
270	0.354064131
271	0.3538207965
272	0.3534093596
273	0.3529966473
274	0.3527696457
275	0.3524800426
276	0.3521244392
277	0.3517504954
278	0.3513851205
279	0.3511038937
280	0.3507884543
281	0.3503953935
282	0.350345682
283	0.3500701359
284	0.3496294409
285	0.3493677187
286	0.3490741017
287	0.3487367658
288	0.3483975723
289	0.3479745866
290	0.3476777285
291	0.3475066613
292	0.3471701345
293	0.3469867224
294	0.3468027543
295	0.3464847124
296	0.3461888109
297	0.3457893545
298	0.3454996884
299	0.3452179149
300	0.3448906376
301	0.3446901741
302	0.3445091805
303	0.3444814316
304	0.3441612495
305	0.3440660006
306	0.3436990289
307	0.3435957031
308	0.343227529
309	0.3430063069
310	0.3426058663
311	0.3423570853
312	0.3421830441
313	0.3417828399
314	0.3414636547
315	0.3411668856
316	0.3409620115
317	0.3407192288
318	0.3402457375
319	0.3400630012
320	0.3397537359
321	0.3395532891
322	0.3394192082
323	0.3392947157
324	0.3391546562
325	0.3389461142
326	0.338653022
327	0.3383640085
328	0.3381108492
329	0.3378928995
330	0.3375546133
331	0.3373501954
332	0.337201608
333	0.3371748856
334	0.3369814145
335	0.3367997969
336	0.336546787
337	0.3362629122
338	0.3360123205
339	0.3358387891
340	0.3355533302
341	0.3352104926
342	0.3350701513
343	0.3349832943
344	0.3346803741
345	0.3344948622
346	0.3341690146
347	0.334013256
348	0.3339996224
349	0.3336328126
350	0.3334179191
351	0.3332569487
352	0.3330262027
353	0.3328676638
354	0.3327836529
355	0.3324511351
356	0.3322716175
357	0.3320946475
358	0.3318592687
359	0.3316823256
360	0.3313183796
361	0.3311505832
362	0.3309173359
363	0.3307590117
364	0.3305098941
365	0.330330114
366	0.3300709258
367	0.3297073275
368	0.3296008004
369	0.329396802
370	0.329102307
371	0.3288810482
372	0.328711739
373	0.3285129307
374	0.3283202573
375	0.3281199917
376	0.3278127473
377	0.3276119955
378	0.3274422777
379	0.327231399
380	0.3270309092
381	0.3268490373
382	0.3265951879
383	0.3262231473
384	0.3260243758
385	0.3258057891
386	0.3255388804
387	0.3253984834
388	0.3252919958
389	0.3250483732
390	0.3246950568
391	0.3244806657
392	0.324295981
393	0.324194289
394	0.323832526
395	0.3235684937
396	0.323417952
397	0.3232537481
398	0.3231233437
399	0.3228840393
400	0.3227221906
401	0.3223608066
402	0.3219615825
403	0.3218124343
404	0.3216354798
405	0.3214550035
406	0.3213071014
407	0.3212316999
408	0.3210678224
409	0.3208274514
410	0.3206922645
411	0.3206106379
412	0.3204658189
413	0.3203166001
414	0.3200320317
415	0.3199031793
416	0.3197594162
417	0.3196055809
418	0.3194805137
419	0.319282975
420	0.319064108
421	0.3187577097
422	0.318589944
423	0.318340174
424	0.3181769302
425	0.3180594706
426	0.3178934907
427	0.3176720975
428	0.3174599495
429	0.3171068867
430	0.3169626918
431	0.3169229815
432	0.316832274
433	0.3166506033
434	0.3164733959
435	0.3163098322
436	0.316172735
437	0.3160670284
438	0.3159294903
439	0.3155353214
440	0.3153519574
441	0.3151606062
442	0.314824488
443	0.3146999652
444	0.3144457701
445	0.3142174087
446	0.3138998145
447	0.3137470263
448	0.3136217638
449	0.313479351
450	0.3131885822
451	0.3130128631
452	0.3127564186
453	0.3125667182
454	0.312341216
455	0.3122144581
456	0.3121657452
457	0.3121477247
458	0.3118259922
459	0.3117123428
460	0.3116037881
461	0.3114326539
462	0.3114126946
463	0.3112583627
464	0.3110722031
465	0.3109539901
466	0.3107560013
467	0.3105823184
468	0.310443098
469	0.310371604
470	0.3102440156
471	0.3100931163
472	0.3100714431
473	0.3098518052
474	0.3096254099
475	0.3094319164
476	0.3092510741
477	0.3090445466
478	0.3088662624
479	0.3086231369
480	0.3085137558
481	0.3083094208
482	0.3081503673
483	0.3079662673
484	0.3078609503
485	0.3076119463
486	0.3073314242
487	0.3070938316
488	0.3068766956
489	0.306674125
490	0.3064701384
491	0.3062084637
492	0.3060175827
493	0.305879587
494	0.3056691178
495	0.3054721338
496	0.3053613686
497	0.3051071754
498	0.3050381944
499	0.3045660022
500	0.3043857241
501	0.3041156921
502	0.3039322644
503	0.3038353996
504	0.3036818472
505	0.3035493586
506	0.303474621
507	0.303322003
508	0.3032312303
509	0.3031581012
510	0.3029430285
511	0.3028084724
512	0.3026545597
513	0.3026079637
514	0.3024433449
515	0.3023169284
516	0.3022584617
517	0.3021748232
518	0.3020085122
519	0.301945992
520	0.3014903422
521	0.3013132689
522	0.3010696414
523	0.3007831213
524	0.3006521614
525	0.3004911022
526	0.300362309
527	0.3001989909
528	0.299991399
529	0.2998811541
530	0.2997198785
531	0.2994642501
532	0.2992850473
533	0.2991107669
534	0.298961757
535	0.2988061991
536	0.2986511254
537	0.2983917241
538	0.2981865737
539	0.2981789677
540	0.2980626359
541	0.2977416472
542	0.2977095285
543	0.2975516741
544	0.2973952378
545	0.2972375716
546	0.2970828749
547	0.2969333915
548	0.2966889382
549	0.2964965923
550	0.2962742756
551	0.296127432
552	0.2960464149
553	0.2959190275
554	0.2957913621
555	0.295651376
556	0.2955845084
557	0.2953965655
558	0.2953474047
559	0.2951710235
560	0.2949170144
561	0.2947296613
562	0.294598968
563	0.2944565611
564	0.294226077
565	0.2938798157
566	0.2936430998
567	0.2934812264
568	0.2933080584
569	0.2931362524
570	0.2930116337
571	0.2928380561
572	0.2926703744
573	0.2925321873
574	0.2924044711
575	0.2922686621
576	0.2921388171
577	0.292075181
578	0.2918660521
579	0.2916984997
580	0.2915107302
581	0.2913655323
582	0.2912150603
583	0.2910626808
584	0.2908995999
585	0.2907734291
586	0.290503655
587	0.2903948056
588	0.2902431719
589	0.2900913465
590	0.2899737559
591	0.2898987392
592	0.2897603909
593	0.2896054629
594	0.2894380049
595	0.2892707531
596	0.2892108378
597	0.2888623251
598	0.2887170494
599	0.2885834987
600	0.2882437142
601	0.2881218645
602	0.2878604937
603	0.2877551237
604	0.2876144764
605	0.2873974307
606	0.2871627686
607	0.2869095405
608	0.2868333081
609	0.2866955107
610	0.2864925079
611	0.2862604541
612	0.2862072133
613	0.2861679039
614	0.2859858734
615	0.2857205055
616	0.2855528185
617	0.2853577636
618	0.285034696
619	0.2848880113
620	0.2847500791
621	0.2846576684
622	0.2845805127
623	0.2844773379
624	0.2842157002
625	0.2839239553
626	0.2837319363
627	0.2836197854
628	0.2834326101
629	0.2833710755
630	0.2831873643
631	0.2830448998
632	0.2828913
633	0.282761556
634	0.2825749479
635	0.2823445806
636	0.2822913692
637	0.2821775276
638	0.2820869468
639	0.2819960552
640	0.2819178594
641	0.2817466021
642	0.2814349514
643	0.2813495649
644	0.2812919391
